Start_Lat,Start_Lng,Distance(mi),Temperature(F),Humidity(%),Visibility(mi),Wind_Direction,Weather_Condition,day_of_week_acc,Nautical_Twilight,season_acc,cible,year_acc
33.6,-112.3,1.0,62.0,12.0,10.0,0.1978658207971211,Fair,2,Day,winter,0,2020
27.3,-82.5,0.0,83.0,69.0,10.0,0.11216944406164672,Fair,3,Day,spring,0,2020
30.2,-97.8,0.0,50.0,66.0,10.0,0.11539246896503184,Fair,2,Day,spring,1,2020
33.1,-117.3,0.0,64.0,90.0,3.0,0.07512959899967943,Cloudy,1,Day,summer,0,2020
37.0,-120.1,0.0,36.0,82.0,7.0,0.07512959899967943,Fair,2,Night,winter,0,2020
34.0,-117.9,0.0,70.0,49.0,10.0,0.14509260250954292,Fair,3,Day,spring,0,2020
34.8,-82.4,0.0,54.0,94.0,10.0,0.1934317088257318,Fair,0,Night,autumn,0,2020
41.8,-72.7,0.0,57.0,36.0,10.0,0.14509260250954292,Fair,5,Day,spring,1,2020
25.9,-80.4,0.0,66.0,96.0,10.0,0.07512959899967943,Fair,6,Day,winter,0,2020
40.1,-75.1,0.0,31.0,86.0,10.0,0.07512959899967943,Fair,1,Night,autumn,0,2020
34.6,-77.9,0.0,63.0,94.0,10.0,0.175655015598652,Cloudy,3,Day,spring,0,2020
30.5,-91.1,0.0,36.0,86.0,10.0,0.07512959899967943,Fair,6,Night,winter,0,2020
42.4,-87.9,0.0,47.0,42.0,10.0,0.19946047525166746,Other,3,Night,autumn,0,2020
38.9,-77.1,0.0,45.0,46.0,10.0,0.14509260250954292,Mostly Cloudy,2,Night,winter,0,2020
32.1,-86.5,6.0,86.0,59.0,10.0,0.1978658207971211,Mostly Cloudy,6,Day,autumn,0,2020
35.2,-80.8,0.0,71.0,63.0,10.0,0.11207069872824872,Mostly Cloudy,2,Day,autumn,0,2020
41.2,-112.0,0.0,,,,0.14172863575095576,Other,0,Day,winter,0,2020
33.8,-84.4,0.0,68.0,73.0,10.0,0.07512959899967943,Fair,6,Day,summer,0,2020
38.0,-122.1,0.0,61.0,52.0,8.0,0.07512959899967943,Fair,5,Night,autumn,0,2020
45.2,-120.7,0.0,,,,0.14172863575095576,Other,6,Day,autumn,0,2020
26.2,-80.1,1.0,81.0,47.0,10.0,0.1978658207971211,Fair,1,Day,spring,0,2020
37.8,-122.0,0.0,55.0,62.0,10.0,0.11207069872824872,Fair,3,Day,spring,0,2020
45.2,-123.1,0.0,35.0,100.0,1.0,0.07512959899967943,Fog,5,Night,autumn,0,2020
43.2,-77.8,0.0,62.0,53.0,10.0,0.20179659383577014,Cloudy,2,Day,spring,1,2020
43.2,-77.6,0.0,50.0,86.0,10.0,0.17427911846260802,Cloudy,4,Day,spring,1,2020
34.1,-117.8,0.0,61.0,82.0,10.0,0.175655015598652,Cloudy,5,Day,spring,0,2020
26.1,-80.2,1.0,77.0,62.0,10.0,0.2012560380538422,Fair,3,Night,autumn,0,2020
34.9,-117.1,0.0,38.0,36.0,10.0,0.17427911846260802,Fair,4,Night,winter,0,2020
42.5,-82.9,1.0,38.0,48.0,10.0,0.175655015598652,Fair,2,Night,winter,0,2020
40.8,-73.2,0.0,63.0,24.0,10.0,0.16782070524190654,Fair,4,Day,spring,1,2020
45.9,-119.3,0.0,50.0,48.0,10.0,0.175655015598652,Cloudy,6,Day,winter,0,2020
34.1,-118.3,1.0,55.0,72.0,10.0,0.11207069872824872,Fair,3,Night,winter,0,2020
44.8,-73.1,0.0,26.0,64.0,4.0,0.11216944406164672,Other,2,Day,spring,0,2020
33.9,-98.5,0.0,39.0,53.0,10.0,0.19946047525166746,Fair,4,Night,winter,0,2020
44.3,-121.5,0.0,,,,0.14172863575095576,Other,2,Night,summer,0,2020
34.2,-118.9,0.0,74.0,13.0,10.0,0.1837178381607416,Fair,4,Day,winter,0,2020
45.5,-122.7,0.0,63.0,75.0,10.0,0.19946047525166746,Light Rain,3,Night,autumn,0,2020
39.7,-121.6,0.0,,,,0.14172863575095576,Other,6,Day,autumn,0,2020
43.5,-124.2,0.0,47.0,100.0,8.0,0.2012560380538422,Cloudy,6,Night,winter,0,2020
34.5,-112.0,14.0,82.0,13.0,10.0,0.1726279818900893,Fair,2,Day,spring,1,2020
33.8,-118.0,0.0,71.0,68.0,10.0,0.175655015598652,Fair,0,Day,summer,0,2020
38.7,-121.6,0.0,44.0,82.0,10.0,0.07512959899967943,Fair,4,Night,spring,0,2020
40.7,-74.1,0.0,75.0,62.0,10.0,0.175655015598652,Mostly Cloudy,3,Night,summer,0,2020
34.1,-117.6,4.0,92.0,14.0,10.0,0.175655015598652,Fair,1,Day,autumn,0,2020
48.0,-122.2,0.0,68.0,70.0,10.0,0.11207069872824872,Cloudy,2,Day,summer,0,2020
43.3,-75.5,1.0,53.0,86.0,9.0,0.11216944406164672,Cloudy,3,Night,autumn,0,2020
27.9,-82.8,0.0,78.0,81.0,10.0,0.1837178381607416,Cloudy,2,Night,autumn,0,2020
34.0,-118.2,0.0,57.0,49.0,10.0,0.07512959899967943,Fair,2,Night,autumn,0,2020
40.8,-73.9,0.0,56.0,80.0,10.0,0.1934317088257318,Cloudy,1,Day,winter,0,2020
43.1,-76.2,2.0,41.0,51.0,10.0,0.14509260250954292,Cloudy,2,Day,winter,0,2020
41.9,-87.9,0.0,56.0,93.0,4.0,0.19551397248314875,Cloudy,2,Night,spring,1,2020
34.8,-82.8,0.0,43.0,68.0,10.0,0.11216944406164672,Fair,0,Day,autumn,0,2020
33.5,-112.3,0.0,76.0,29.0,10.0,0.1934317088257318,Fair,6,Day,spring,0,2020
34.0,-118.2,0.0,55.0,67.0,10.0,0.07512959899967943,Fair,5,Night,autumn,0,2020
32.8,-96.7,0.0,72.0,84.0,10.0,0.1837178381607416,Cloudy,1,Day,autumn,0,2020
40.4,-74.3,0.0,,,10.0,0.17427911846260802,Partly Cloudy,6,Day,spring,1,2020
30.8,-88.3,0.0,74.0,93.0,7.0,0.11216944406164672,Other,3,Day,summer,1,2020
40.4,-75.4,13.0,75.0,89.0,10.0,0.14509260250954292,Cloudy,3,Day,spring,0,2020
28.4,-81.4,1.0,70.0,97.0,10.0,0.1978658207971211,Fair,5,Night,autumn,0,2020
30.0,-95.5,0.0,65.0,45.0,10.0,0.1726279818900893,Cloudy,2,Night,winter,0,2020
30.4,-86.9,0.0,50.0,86.0,10.0,0.11539246896503184,Fair,5,Night,autumn,0,2020
41.4,-73.4,0.0,33.0,89.0,10.0,0.07512959899967943,Mostly Cloudy,0,Night,winter,0,2020
33.7,-84.4,0.0,44.0,73.0,10.0,0.17427911846260802,Other,0,Day,autumn,1,2020
38.1,-85.9,0.0,66.0,81.0,10.0,0.07512959899967943,Mostly Cloudy,0,Day,spring,0,2020
33.8,-117.8,0.0,65.0,73.0,10.0,0.14509260250954292,Fair,2,Day,summer,0,2020
35.9,-84.5,4.0,48.0,71.0,10.0,0.07512959899967943,Fair,4,Night,autumn,0,2020
37.5,-77.4,0.0,67.0,63.0,10.0,0.1837178381607416,Fair,4,Day,spring,0,2020
36.9,-121.8,0.0,50.0,100.0,0.0,0.07512959899967943,Fog,4,Night,autumn,0,2020
43.0,-85.7,0.0,65.0,75.0,10.0,0.20179659383577014,Fair,1,Day,summer,0,2020
40.1,-75.1,0.0,52.0,77.0,9.0,0.16782070524190654,Other,1,Day,spring,0,2020
28.4,-81.3,2.0,83.0,46.0,10.0,0.175655015598652,Fair,1,Day,spring,0,2020
44.9,-93.3,1.0,34.0,89.0,10.0,0.1726279818900893,Cloudy,4,Day,autumn,0,2020
43.2,-77.7,0.0,70.0,76.0,10.0,0.1934317088257318,Mostly Cloudy,4,Day,spring,0,2020
38.3,-122.1,0.0,88.0,31.0,10.0,0.14509260250954292,Fair,3,Day,spring,0,2020
45.5,-122.6,0.0,45.0,90.0,10.0,0.1934317088257318,Light Rain,2,Day,autumn,0,2020
43.1,-77.6,0.0,36.0,89.0,10.0,0.2012560380538422,Light Rain,0,Day,spring,1,2020
38.6,-121.4,0.0,61.0,100.0,1.0,0.1934317088257318,Cloudy,6,Day,spring,0,2020
28.2,-82.4,0.0,79.0,74.0,10.0,0.1934317088257318,Mostly Cloudy,0,Day,winter,0,2020
41.0,-73.7,0.0,45.0,90.0,2.0,0.11539246896503184,Other,3,Day,autumn,0,2020
33.6,-81.8,1.0,69.0,64.0,10.0,0.11216944406164672,Partly Cloudy,6,Day,autumn,0,2020
37.6,-122.4,0.0,55.0,74.0,10.0,0.17427911846260802,Fair,4,Day,winter,0,2020
38.4,-77.4,1.0,62.0,95.0,10.0,0.2012560380538422,Cloudy,3,Night,winter,0,2020
41.7,-87.6,0.0,72.0,31.0,10.0,0.1260522790801609,Partly Cloudy,0,Day,summer,1,2020
34.2,-118.9,0.0,76.0,52.0,10.0,0.1934317088257318,Fair,3,Day,summer,0,2020
29.3,-81.1,0.0,54.0,44.0,10.0,0.11216944406164672,Fair,1,Day,winter,0,2020
34.2,-118.4,0.0,50.0,89.0,6.0,0.07512959899967943,Other,3,Night,spring,0,2020
37.6,-122.1,0.0,63.0,37.0,10.0,0.19611848126126613,Fair,1,Day,winter,0,2020
34.5,-118.2,0.0,35.0,27.0,10.0,0.11216944406164672,Fair,4,Night,autumn,0,2020
39.9,-79.2,1.0,,,,0.14172863575095576,Other,1,Night,winter,0,2020
43.6,-94.1,1.0,-4.0,83.0,10.0,0.16782070524190654,Other,3,Night,winter,0,2020
34.0,-117.8,1.0,55.0,36.0,10.0,0.11216944406164672,Fair,2,Night,winter,0,2020
28.4,-81.4,0.0,84.0,53.0,10.0,0.1260522790801609,Mostly Cloudy,2,Day,autumn,0,2020
34.1,-117.8,0.0,52.0,82.0,7.0,0.1837178381607416,Cloudy,3,Night,spring,0,2020
27.0,-82.4,0.0,87.0,74.0,10.0,0.19946047525166746,Fair,0,Day,summer,0,2020
38.0,-122.5,0.0,46.0,93.0,10.0,0.07512959899967943,Mostly Cloudy,0,Night,winter,0,2020
45.5,-122.4,0.0,69.0,44.0,10.0,0.1934317088257318,Mostly Cloudy,0,Day,spring,0,2020
26.3,-80.1,0.0,72.0,100.0,8.0,0.20179659383577014,Light Rain,0,Night,spring,1,2020
38.8,-77.2,0.0,46.0,43.0,10.0,0.17427911846260802,Fair,1,Day,autumn,0,2020
39.8,-84.2,0.0,53.0,94.0,5.0,0.1837178381607416,Cloudy,1,Day,autumn,0,2020
41.6,-72.9,2.0,32.0,92.0,0.0,0.07512959899967943,Fog,0,Night,winter,0,2020
30.0,-90.2,0.0,75.0,55.0,10.0,0.1726279818900893,Fair,0,Day,spring,1,2020
32.1,-81.4,0.0,56.0,90.0,10.0,0.11539246896503184,Partly Cloudy,5,Day,autumn,0,2020
42.1,-119.7,6.0,22.0,51.0,10.0,0.11539246896503184,Fair,6,Night,autumn,0,2020
40.8,-73.0,0.0,79.0,44.0,10.0,0.1934317088257318,Mostly Cloudy,1,Day,summer,1,2020
40.8,-73.8,0.0,32.0,61.0,10.0,0.11539246896503184,Cloudy,1,Day,winter,0,2020
32.8,-97.7,1.0,42.0,83.0,10.0,0.16782070524190654,Cloudy,4,Night,spring,1,2020
34.1,-81.0,0.0,43.0,97.0,5.0,0.07512959899967943,Mostly Cloudy,2,Night,winter,0,2020
39.2,-76.7,0.0,38.0,89.0,7.0,0.07512959899967943,Cloudy,0,Night,winter,0,2020
38.9,-76.9,1.0,62.0,94.0,7.0,0.07512959899967943,Mostly Cloudy,4,Night,autumn,0,2020
40.0,-86.4,4.0,45.0,100.0,5.0,0.20179659383577014,Other,2,Day,spring,1,2020
38.6,-121.3,0.0,37.0,100.0,10.0,0.07512959899967943,Fair,0,Night,winter,0,2020
34.0,-118.3,0.0,60.0,72.0,5.0,0.07512959899967943,Fair,2,Night,spring,0,2020
42.2,-121.7,0.0,20.0,89.0,10.0,0.1978658207971211,Fair,3,Night,winter,0,2020
37.1,-93.3,0.0,39.0,70.0,10.0,0.11216944406164672,Fair,0,Night,winter,0,2020
26.5,-81.8,0.0,72.0,46.0,10.0,0.11207069872824872,Fair,3,Day,winter,0,2020
33.7,-84.3,1.0,55.0,93.0,2.0,0.1260522790801609,Light Rain,0,Night,autumn,0,2020
